row,col,entryHex,tileIndex,palette,priority,hflip,vflip
0,0,0x2801,1,2,1,0,0
0,1,0x2802,2,2,1,0,0
0,2,0x2803,3,2,1,0,0
0,3,0x2803,3,2,1,0,0
0,4,0x2804,4,2,1,0,0
0,5,0x2805,5,2,1,0,0
0,6,0x2805,5,2,1,0,0
0,7,0x2805,5,2,1,0,0
0,8,0x2805,5,2,1,0,0
0,9,0x2805,5,2,1,0,0
0,10,0x2805,5,2,1,0,0
0,11,0x2805,5,2,1,0,0
0,12,0x2805,5,2,1,0,0
0,13,0x2805,5,2,1,0,0
0,14,0x2806,6,2,1,0,0
0,15,0x2807,7,2,1,0,0
0,16,0x2808,8,2,1,0,0
0,17,0x2808,8,2,1,0,0
0,18,0x2808,8,2,1,0,0
0,19,0x2808,8,2,1,0,0
0,20,0x2808,8,2,1,0,0
0,21,0x2809,9,2,1,0,0
0,22,0x280A,10,2,1,0,0
0,23,0x280B,11,2,1,0,0
0,24,0x280B,11,2,1,0,0
0,25,0x280B,11,2,1,0,0
0,26,0x280B,11,2,1,0,0
0,27,0x280B,11,2,1,0,0
0,28,0x280B,11,2,1,0,0
0,29,0x680A,10,2,1,1,0
0,30,0x280C,12,2,1,0,0
0,31,0x2808,8,2,1,0,0
1,0,0x281F,31,2,1,0,0
1,1,0x2820,32,2,1,0,0
1,2,0x29C3,451,2,1,0,0
1,3,0x29C4,452,2,1,0,0
1,4,0x2821,33,2,1,0,0
1,5,0x281F,31,2,1,0,0
1,6,0x281F,31,2,1,0,0
1,7,0x281F,31,2,1,0,0
1,8,0x281F,31,2,1,0,0
1,9,0x281F,31,2,1,0,0
1,10,0x281F,31,2,1,0,0
1,11,0x281F,31,2,1,0,0
1,12,0x281F,31,2,1,0,0
1,13,0x281F,31,2,1,0,0
1,14,0x281F,31,2,1,0,0
1,15,0x281F,31,2,1,0,0
1,16,0x281F,31,2,1,0,0
1,17,0x281F,31,2,1,0,0
1,18,0x281F,31,2,1,0,0
1,19,0x281F,31,2,1,0,0
1,20,0x281F,31,2,1,0,0
1,21,0x2822,34,2,1,0,0
1,22,0x2823,35,2,1,0,0
1,23,0x2000,0,0,1,0,0
1,24,0x2000,0,0,1,0,0
1,25,0x2000,0,0,1,0,0
1,26,0x2000,0,0,1,0,0
1,27,0x2000,0,0,1,0,0
1,28,0x2000,0,0,1,0,0
1,29,0x6823,35,2,1,1,0
1,30,0x2824,36,2,1,0,0
1,31,0x281F,31,2,1,0,0
2,0,0x2845,69,2,1,0,0
2,1,0x2846,70,2,1,0,0
2,2,0x2847,71,2,1,0,0
2,3,0x2848,72,2,1,0,0
2,4,0x2849,73,2,1,0,0
2,5,0x2845,69,2,1,0,0
2,6,0x2845,69,2,1,0,0
2,7,0x2845,69,2,1,0,0
2,8,0x2845,69,2,1,0,0
2,9,0x2845,69,2,1,0,0
2,10,0x2845,69,2,1,0,0
2,11,0x2845,69,2,1,0,0
2,12,0x2845,69,2,1,0,0
2,13,0x2845,69,2,1,0,0
2,14,0x2845,69,2,1,0,0
2,15,0x2845,69,2,1,0,0
2,16,0x2845,69,2,1,0,0
2,17,0x2845,69,2,1,0,0
2,18,0x2845,69,2,1,0,0
2,19,0x2845,69,2,1,0,0
2,20,0x2845,69,2,1,0,0
2,21,0x284A,74,2,1,0,0
